DeploymentId,date,time,lon,lat,Temp_5m,pCO2_5m,O2_5m,Temp_34point5m,pCO2_34point5m,O2_34point5m,Temp_50m,pCO2_50m,O2_50m,Temp_75m,pCO2_75m,O2_75m,Temp_105m_96m,pCO2_105m_96m,O2_105m_96m,Temp_1m,pH_1m
Deployment_1,20080309,1030,-50.64468,-38.58886,5.41,316.4,320.5,4.72,339.5,310.8,3.92,356.6,308.6,1.74,368.3,313.2,0.68,392.2,303.7,5.54,8.1418
Deployment_1,20080309,1100,-50.64596,-38.59020,5.43,316.4,320.1,5.07,342.4,312.5,4.00,358.6,307.9,2.14,373.2,314.6,0.76,386.5,307.4,5.54,8.1418
Deployment_1,20080309,1130,-50.64725,-38.59154,5.43,316.2,320.0,4.85,342.4,310.9,3.76,358.7,309.4,1.66,374.4,313.0,0.68,385.3,306.7,5.54,8.1420
Deployment_1,20080309,1200,-50.64932,-38.59219,5.43,316.9,319.9,5.12,341.0,314.5,3.76,360.1,310.0,1.69,376.7,312.9,0.76,384.9,307.4,5.54,8.1422
Deployment_1,20080309,1230,-50.65140,-38.59284,5.43,316.5,319.6,4.85,344.1,311.1,3.79,360.0,309.5,1.63,375.7,312.8,0.62,387.6,306.6,5.54,8.1427
Deployment_1,20080309,1300,-50.65381,-38.59308,5.43,316.4,319.2,4.64,343.9,310.3,3.81,359.8,309.4,1.63,374.7,313.0,0.60,386.2,307.6,5.55,8.1433
Deployment_1,20080309,1330,-50.65622,-38.59331,5.43,316.6,319.4,5.07,341.9,314.3,3.68,358.4,309.8,1.66,374.2,313.0,0.62,388.2,309.7,5.55,8.1425
Deployment_1,20080309,1400,-50.65866,-38.59255,5.46,315.6,319.2,4.61,344.9,310.2,3.47,359.9,310.6,1.61,376.5,313.8,0.60,384.1,308.3,5.56,8.1416
Deployment_1,20080309,1430,-50.66110,-38.59180,5.43,316.7,319.1,5.20,341.8,315.7,4.00,359.7,308.6,2.09,374.6,313.4,0.60,383.6,309.6,5.57,8.1417
Deployment_1,20080309,1500,-50.66319,-38.58982,5.46,316.3,318.8,5.25,336.5,316.1,3.89,358.9,308.9,2.06,372.7,313.5,0.60,387.2,308.8,5.59,8.1419
Deployment_1,20080309,1530,-50.66527,-38.58784,5.46,316.3,318.6,5.23,338.1,315.9,3.65,359.2,310.9,2.09,371.5,313.7,0.60,381.9,308.7,5.58,8.1427
Deployment_1,20080309,1600,-50.66690,-38.58550,5.46,316.5,317.9,5.12,342.1,315.7,3.60,360.1,311.2,1.95,371.1,313.9,0.60,386.3,307.9,5.56,8.1435
Deployment_1,20080309,1630,-50.66852,-38.58317,5.46,316.8,317.9,5.12,339.9,315.7,3.60,360.1,311.0,2.16,371.4,313.6,0.57,382.8,309.6,5.57,8.1430
Deployment_1,20080309,1700,-50.66979,-38.58053,5.49,316.6,317.9,5.01,341.2,315.1,3.73,356.3,309.7,2.30,363.3,313.0,0.62,384.3,310.8,5.59,8.1422
Deployment_1,20080309,1730,-50.67106,-38.57789,5.49,316.5,317.7,5.12,339.2,315.4,4.00,356.6,309.0,2.09,368.1,313.5,0.65,387.5,303.4,5.59,8.1422
Deployment_1,20080309,1800,-50.67177,-38.57519,5.49,316.8,317.4,5.12,339.0,315.3,4.13,352.9,309.4,2.16,366.7,313.5,0.68,392.0,303.6,5.59,8.1422
Deployment_1,20080309,1830,-50.67248,-38.57248,5.49,316.0,317.3,5.33,331.9,316.5,4.53,349.7,310.6,2.54,363.1,314.8,0.70,389.5,304.9,5.59,8.1424
Deployment_1,20080309,1900,-50.67303,-38.57044,5.49,316.3,317.3,5.25,333.7,315.9,4.21,351.2,309.3,2.48,357.3,314.5,0.73,391.5,305.9,5.59,8.1426
Deployment_1,20080309,1930,-50.67359,-38.56839,5.49,316.3,317.0,5.04,338.8,315.1,3.89,354.7,310.2,2.01,369.6,313.9,0.73,386.9,305.7,5.59,8.1443
Deployment_1,20080309,2000,-50.67385,-38.56662,5.49,315.8,317.1,5.01,340.0,314.8,3.68,358.6,311.6,1.39,376.5,312.4,0.76,391.4,307.0,5.59,8.1461
Deployment_1,20080309,2030,-50.67411,-38.56484,5.49,314.8,316.9,5.33,333.7,316.5,4.24,357.4,309.3,1.82,378.5,313.2,0.81,386.9,307.8,5.59,8.1441
Deployment_1,20080309,2100,-50.67445,-38.56441,5.49,316.3,316.9,5.07,339.8,314.4,3.68,356.6,311.7,1.50,378.1,313.4,0.78,383.8,307.7,5.59,8.1415
Deployment_1,20080309,2130,-50.67479,-38.56398,5.49,315.6,317.1,4.59,348.7,310.4,3.36,362.8,311.8,1.50,379.7,313.4,0.73,381.7,307.8,5.59,8.1415
Deployment_1,20080309,2200,-50.67509,-38.56364,5.49,316.0,316.8,4.30,349.6,307.5,3.31,363.5,310.2,1.34,382.9,311.8,0.73,384.0,305.6,5.59,8.1419
Deployment_1,20080309,2230,-50.67539,-38.56330,5.49,315.7,317.3,4.54,349.5,309.1,3.44,365.6,311.4,1.45,380.5,313.2,0.70,383.8,306.3,5.59,8.1424
Deployment_1,20080309,2300,-50.67596,-38.56367,5.49,315.5,316.8,4.61,350.1,310.7,3.17,364.9,312.0,1.37,382.3,312.2,0.70,389.3,301.9,5.59,8.1429
Deployment_1,20080309,2330,-50.67654,-38.56403,5.49,315.9,317.3,4.77,349.2,313.3,3.31,366.4,309.8,1.45,381.9,312.9,0.62,386.7,306.1,5.60,8.1413
Deployment_1,20080310,0000,-50.67792,-38.56445,5.49,315.9,316.9,4.91,342.2,312.4,3.55,364.2,310.1,1.55,378.2,312.8,0.68,389.0,305.7,5.61,8.1394
Deployment_1,20080310,0030,-50.67929,-38.56487,5.49,315.7,316.9,5.07,342.1,313.7,3.84,365.0,310.4,1.71,376.7,313.8,0.62,387.9,306.0,5.61,8.1390
Deployment_1,20080310,0100,-50.68023,-38.56509,5.51,316.0,317.7,5.15,334.5,313.9,3.89,359.2,309.6,1.77,374.3,314.5,0.60,388.9,304.7,5.62,8.1389
Deployment_1,20080310,0130,-50.68117,-38.56531,5.51,316.8,317.8,5.25,332.1,314.2,3.92,356.3,309.9,1.77,374.3,313.8,0.62,386.7,305.9,5.62,8.1380
Deployment_1,20080310,0200,-50.68258,-38.56536,5.51,316.3,317.6,5.52,329.7,316.3,4.45,354.3,310.4,1.93,374.9,314.2,0.68,389.1,305.2,5.62,8.1370
Deployment_1,20080310,0230,-50.68400,-38.56542,5.51,316.5,317.1,5.41,329.1,315.4,4.34,353.0,310.5,1.90,372.6,314.5,0.78,387.6,308.5,5.62,8.1368
Deployment_1,20080310,0300,-50.68518,-38.56494,5.51,316.6,317.4,5.46,330.4,316.0,4.26,355.8,309.9,2.01,373.8,314.4,0.70,382.9,306.8,5.61,8.1368
